https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GOOGL,Volume USDT,tradecount
1692279000000,2023-08-17,GOOGL,129.80,131.99,129.29,129.92,33446300,4345343234.76,0
1692192600000,2023-08-16,GOOGL,128.70,130.28,127.87,128.70,25216100,3245311993.05,0
1692106200000,2023-08-15,GOOGL,131.10,131.42,129.28,129.78,19770700,2565841421.87,0
1692019800000,2023-08-14,GOOGL,129.39,131.37,128.96,131.33,24695600,3243273193.22,0
1691760600000,2023-08-11,GOOGL,128.66,129.93,128.17,129.56,19591100,2538222868.17,0
1691674200000,2023-08-10,GOOGL,131.32,132.05,129.45,129.69,20857800,2705048132.92,0
1691587800000,2023-08-09,GOOGL,131.66,132.04,129.00,129.66,24912900,3230206705.23,0
1691501400000,2023-08-08,GOOGL,130.62,131.51,129.54,131.40,23535200,3092525136.35,0
1691415000000,2023-08-07,GOOGL,129.16,131.61,129.02,131.53,22746300,2991820811.23,0
1691155800000,2023-08-04,GOOGL,129.28,131.51,127.91,128.11,26147200,3349717807.96,0
1691069400000,2023-08-03,GOOGL,127.97,129.39,127.42,128.45,20089500,2580496213.69,0
1690983000000,2023-08-02,GOOGL,129.45,130.09,127.56,128.38,26273300,3372966382.29,0
1690896600000,2023-08-01,GOOGL,130.78,132.63,130.68,131.55,23166800,3047592610.70,0
1690810200000,2023-07-31,GOOGL,132.73,133.53,131.78,132.72,28055500,3723525994.25,0
1690551000000,2023-07-28,GOOGL,130.78,133.74,130.57,132.58,36591200,4851261363.00,0
1690464600000,2023-07-27,GOOGL,131.67,133.24,128.79,129.40,44952100,5816801465.63,0
1690378200000,2023-07-26,GOOGL,130.07,130.98,128.32,129.27,61682100,7973645330.53,0
1690291800000,2023-07-25,GOOGL,121.36,123.15,121.02,122.21,52509600,6417198167.93,0
1690205400000,2023-07-24,GOOGL,121.66,123.00,120.98,121.53,29686100,3607751696.76,0
1689946200000,2023-07-21,GOOGL,120.62,120.99,118.73,120.02,72937900,8754006513.15,0
1689859800000,2023-07-20,GOOGL,121.42,124.09,118.22,119.20,37906800,4518490444.32,0
1689773400000,2023-07-19,GOOGL,124.60,125.18,121.80,122.03,37224000,4542444674.56,0
1689687000000,2023-07-18,GOOGL,124.60,124.68,122.96,123.76,26193600,3241719991.96,0
1689600600000,2023-07-17,GOOGL,125.94,127.10,124.20,124.65,25716200,3205524369.24,0
1689341400000,2023-07-14,GOOGL,124.80,126.78,123.49,125.42,33283100,4174366341.06,0
1689255000000,2023-07-13,GOOGL,120.93,124.83,120.45,124.54,44297900,5516860506.56,0
1689168600000,2023-07-12,GOOGL,118.80,120.33,118.41,118.93,30404400,3615995301.28,0
1689082200000,2023-07-11,GOOGL,116.29,117.71,115.35,117.14,23078800,2703450617.91,0
1688995800000,2023-07-10,GOOGL,118.30,118.31,116.14,116.45,35315200,4112454932.23,0
1688736600000,2023-07-07,GOOGL,120.10,121.05,119.40,119.48,21709500,2593851132.88,0
1688650200000,2023-07-06,GOOGL,119.80,120.30,118.40,120.11,24745200,2972145987.10,0
1688563800000,2023-07-05,GOOGL,119.24,122.61,119.23,121.75,27584800,3358449400.00,0
1688391000000,2023-07-03,GOOGL,119.24,120.19,118.82,119.90,14467900,1734701232.08,0
1688131800000,2023-06-30,GOOGL,120.17,121.08,119.69,119.70,29532200,3535004249.87,0
1688045400000,2023-06-29,GOOGL,119.24,120.06,118.30,119.10,24090900,2869226153.24,0
1687959000000,2023-06-28,GOOGL,117.09,120.39,116.85,120.18,27091400,3255844460.27,0
1687872600000,2023-06-27,GOOGL,117.08,119.08,116.10,118.33,39535900,4678283119.39,0
1687786200000,2023-06-26,GOOGL,120.76,122.00,118.27,118.34,33969900,4019997841.60,0
1687527000000,2023-06-23,GOOGL,121.38,122.79,121.06,122.34,34913600,4271329696.14,0
1687440600000,2023-06-22,GOOGL,120.00,123.24,118.83,123.15,26952200,3319163471.13,0
1687354200000,2023-06-21,GOOGL,122.40,122.66,120.10,120.55,30306300,3653424557.49,0
1687267800000,2023-06-20,GOOGL,122.93,124.57,122.14,123.10,26097500,3212602210.18,0
1686922200000,2023-06-16,GOOGL,125.93,126.11,123.28,123.53,45535600,5625012612.41,0
1686835800000,2023-06-15,GOOGL,123.14,125.46,122.40,125.09,35246300,4408959537.92,0
1686749400000,2023-06-14,GOOGL,123.10,124.05,121.45,123.67,30592300,3783349684.98,0
1686663000000,2023-06-13,GOOGL,124.98,125.16,123.18,123.83,22278300,2758721929.79,0
1686576600000,2023-06-12,GOOGL,122.79,124.05,121.66,123.64,28306400,3499803278.72,0
1686317400000,2023-06-09,GOOGL,122.25,123.76,121.91,122.23,23778300,2906421688.82,0
1686231000000,2023-06-08,GOOGL,122.23,123.23,121.24,122.14,29389200,3589596870.06,0
1686144600000,2023-06-07,GOOGL,126.97,129.04,122.12,122.50,52539000,6436027500.00,0
1686058200000,2023-06-06,GOOGL,126.01,128.29,125.36,127.31,26638300,3391321907.97,0
1685971800000,2023-06-05,GOOGL,124.01,127.43,123.84,126.01,32305500,4070816124.01,0
1685712600000,2023-06-02,GOOGL,123.99,126.15,123.76,124.67,26980100,3363609017.60,0
1685626200000,2023-06-01,GOOGL,122.82,124.42,122.62,123.72,30772700,3807198481.56,0
1685539800000,2023-05-31,GOOGL,122.75,124.06,122.50,122.87,37325800,4586221148.52,0
1685453400000,2023-05-30,GOOGL,125.64,125.66,122.00,123.67,35076700,4337935424.77,0
1685107800000,2023-05-26,GOOGL,123.17,125.26,122.45,124.61,35635900,4440589520.75,0
1685021400000,2023-05-25,GOOGL,124.52,125.32,121.96,123.48,42317000,5225303302.06,0
1684935000000,2023-05-24,GOOGL,121.12,121.91,119.86,120.90,34182600,4132676392.16,0
1684848600000,2023-05-23,GOOGL,124.16,124.63,122.21,122.56,34046300,4172714444.88,0
1684762200000,2023-05-22,GOOGL,122.94,126.43,122.74,125.05,35253000,4408387757.58,0
1684503000000,2023-05-19,GOOGL,123.55,125.97,122.15,122.76,41353400,5076543472.34,0
1684416600000,2023-05-18,GOOGL,120.95,123.31,120.83,122.83,35234200,4327816850.52,0
1684330200000,2023-05-17,GOOGL,119.61,121.67,118.89,120.84,33323600,4026823701.97,0
1684243800000,2023-05-16,GOOGL,116.49,120.75,116.43,119.51,45035600,5382204652.21,0
1684157400000,2023-05-15,GOOGL,116.11,118.48,116.01,116.51,36266800,4225444945.47,0
